Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
SE;SP;ITAPOLIS;RENATO APARECIDO MAZZO - ME; 05.357.523/0001-03;AVENIDA SETE DE SETEMBRO;1470;;CENTRO;14900-000;GLP;04/12/2023;115;;R$ / 13 kg;COPA ENERGIA
CO;GO;FORMOSA;NORDESTE COMERCIO LTDA; 08.287.452/0001-08;RUA VALERIANO DE CASTRO;1141;;SETOR NORDESTE;73807-180;GLP;06/12/2023;100;;R$ / 13 kg;BRANCA
SE;SP;SAO JOSE DO RIO PRETO;ROBERIO AMATO - ME; 07.025.962/0001-44;RUA DOUTORALBERTO ANDALO;943;ANEXO 01;FAZENDA RETIRO (ZONA RURAL);15104-016;GLP;05/12/2023;100;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;TAUBATE;JOAO PAULO DA COSTA; 08.365.374/0001-12;ESTRADA DO BARREIRO;5619;;SAO GONCALO;12092-000;GLP;07/12/2023;78;;R$ / 13 kg;BRANCA
SE;SP;HORTOLANDIA;R. A. DA SILVEIRA GÁS - ME.; 07.788.116/0001-86;RUA GRACILIANO RAMOS;401;;JARDIM AMANDA;13188-090;GLP;07/12/2023;94,99;;R$ / 13 kg;BRANCA
SE;SP;AMERICANA;LINO COMERCIO DE GAS LTDA; 08.330.152/0001-64;AVENIDA ORLANDO DEI SANTI;1286;;JARDIM AMERICA;13477-150;GLP;05/12/2023;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO JOSE DOS CAMPOS;GLAUCO ALEXANDRO APARECIDO MARTINS - ME; 04.895.625/0001-10;RUA SIQUEIRA CAMPOS;549;;CENTRO;12210-250;GLP;07/12/2023;105;;R$ / 13 kg;ULTRAGAZ
SE;SP;SAO ROQUE;EDNA HIROMI SUZUKI DA SILVA BEBIDAS; 07.778.634/0001-19;AVENIDA MONTEIRO LOBATO;33;SALAO 01;VILA JUNQUEIRA;18136-140;GLP;06/12/2023;95;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;SAO JOSE DOS CAMPOS;COSTA SUPORTE COMERCIAL DE GAS LTDA; 04.276.205/0001-55;AVENIDA BENEDITO BENTO;600;;JARDIM MORUMBI;12236-580;GLP;07/12/2023;89,99;;R$ / 13 kg;BRANCA
SE;SP;SANTO ANDRE;ULTRAPAZ COMERCIO DE GAS LTDA; 06.263.117/0001-44;AVENIDA DA PAZ;884;;VILA METALURGICA;09220-310;GLP;06/12/2023;109,99;;R$ / 13 kg;ULTRAGAZ
SE;SP;BRAGANCA PAULISTA;VIVIANE BERNARDES DE SOUZA - ME; 08.062.483/0001-60;AVENIDA NOSSA SENHORA DA PENHA;660;;PENHA;12929-470;GLP;04/12/2023;104,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;VOTORANTIM;ADRIANO SALIM DE OLIVEIRA; 08.304.817/0001-65;AVENIDA MATHEUS CONEGERO;216;;PARQUE BELA VISTA;18110-570;GLP;06/12/2023;105;;R$ / 13 kg;BRANCA
SE;SP;CAMPINAS;UNIVERSITARIO DISTRIBUIDORA DE GAS LTDA; 06.048.790/0001-61;RUA PADRE DAMIÃO;82;;PQ. UNIVERSITÁRIO;13056-470;GLP;06/12/2023;99,99;;R$ / 13 kg;CONSIGAZ
SE;SP;BRAGANCA PAULISTA;MR GAS E AGUA LTDA - ME; 05.576.958/0001-49;AVENIDA   ANTONIETA THOMAZINI LONZA;1742;;PARQUE BRASIL;12906-320;GLP;04/12/2023;100;;R$ / 13 kg;ULTRAGAZ
SE;SP;CATANDUVA;SUPERMERCADO ANTUNES LTDA.; 54.265.970/0005-71;RUA GUAPORE;291;;VILA LUNARDELLI;18005-095;GLP;04/12/2023;99;;R$ / 13 kg;BRANCA
CO;GO;TRINDADE;REGINALDO R DE OLIVEIRA - O REGYS; 02.469.094/0001-78;RUA 11 ESQ C/RUA 28;642;QUADRA103                 LOTE  16 E 17;VILA PAI ETERNO;75380-001;GLP;06/12/2023;92,99;;R$ / 13 kg;LIQUIGÁS
SE;SP;AMERICANA;COMERCIAL J. K. A GAS E AGUA LTDA; 05.029.131/0001-15;AVENIDA CAMPOS DE JORDAO;148;;PARQUE NOVO MUNDO;13467-610;GLP;06/12/2023;99,99;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;JUNDIAI;RAMOS & RAMOS DE JUNDIAI COMERCIO DE GAS LTDA; 04.788.637/0001-45;AVENIDA PROF. PEDRO CLARISMUNDO FORNARI;90;;VILA MARLENE;13214-660;GLP;07/12/2023;110;;R$ / 13 kg;ULTRAGAZ
SE;SP;VALINHOS;COMERCIO E TRANSPORTE DE GAS LIQUEFEITO DE PETRÓLEO -; 07.776.878/0001-62;RODOVIA MUNICIPAL DOS ANDRADAS;1912;;PONTE ALTA;13277-650;GLP;07/12/2023;98;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;SP;PRESIDENTE VENCESLAU;ZENIVALDO MOURA DA SILVA - ME; 01.304.524/0001-39;RUA ALMIRANTE BARROSO;435;;CENTRO;19400-000;GLP;04/12/2023;106;;R$ / 13 kg;ULTRAGAZ
SE;SP;PRESIDENTE PRUDENTE;ROBINSON FERNANDO FERREIRA - ME.; 06.208.596/0001-04;RUA PRUDENTE DE MORAIS;1975;;PQ. SAO JUDAS TADEU;19023-340;GLP;04/12/2023;104;;R$ / 13 kg;ULTRAGAZ
SE;SP;JUNDIAI;RONILDO R. DA SILVA GAS -ME; 07.337.284/0001-55;RUA FAUSTINA BARBOSA STACKFLETH;40;;PARQUE CENTENARIO;13214-773;GLP;05/12/2023;105;;R$ / 13 kg;BRANCA
S;PR;PARANAGUA;AROLDO JOSE SCHREINER; 07.505.763/0001-33;RODOVIA PR 407;KM 2,6;;OURO FINO;83218-970;GLP;04/12/2023;94,99;;R$ / 13 kg;LIQUIGÁS
NE;BA;SALVADOR;NATANEL DA CONCEIÇÃO LOPES; 07.022.162/0001-70;RUA STELA MARIS;3;;SÃO CRISTOVÃO;41500-000;GLP;05/12/2023;106;;R$ / 13 kg;BAHIANA
